"word_kanji","kana_parsed","kana_parsed2","hangul"
国防情報局,コク|ボウ|ジョウ|ホウ|キョク,コク|ボー|ジョー|ホー|キョク,국방정보국
長生,チョウ|セイ,チョー|セイ,장생
港,コウ,コー,항
崇拝,スウ|ハイ,スー|ハイ,숭배
対称,タイ|ショウ,タイ|ショー,대칭
貴公子,キ|コウ|シ,キ|コー|シ,귀공자
法輪,ホウ|リン,ホー|リン,법륜
主語,シュ|ゴ,シュ|ゴ,주어
固定,コ|テイ,コ|テイ,고정
白蛇,シロ|ヘビ,シロ|ヘビ,백사
半径,ハン|ケイ,ハン|ケイ,반경
農地,ノウ|チ,ノー|チ,농지
玉砕,ギョク|サイ,ギョク|サイ,옥쇄
三景,サン|ケイ,サン|ケイ,삼경
久世,ク|セ,ク|セ,구세
南部,ナン|ブ,ナン|ブ,남부
巡航,ジュン|コウ,ジュン|コー,순항
黒色,コク|ショク,コク|ショク,흑색
正統,セイ|トウ,セイ|トー,정통
遺書,イ|ショ,イ|ショ,유서
炎症,エン|ショウ,エン|ショー,염증
安堵,アン|ド,アン|ド,안도
雪山,ユキ|ヤマ,ユキ|ヤマ,설산
添付,テン|プ,テン|プ,첨부
骨盤,コツ|バン,コツ|バン,골반
実録,ジツ|ロク,ジツ|ロク,실록
意思,イ|シ,イ|シ,의사
前方後円墳,ゼン|ポウ|コウ|エン|フン,ゼン|ポー|コー|エン|フン,전방후원분
高野,タカ|ノ,タカ|ノ,고야
習慣,シュウ|カン,シュー|カン,습관
普遍,フ|ヘン,フ|ヘン,보편
唯名論,ユイ|メイ|ロン,ユイ|メイ|ロン,유명론
椎間板,ツイ|カン|バン,ツイ|カン|バン,추간판
軟骨,ナン|コツ,ナン|コツ,연골
家具,カ|グ,カ|グ,가구
数式,スウ|シキ,スー|シキ,수식
条項,ジョウ|コウ,ジョー|コー,조항
官庁,カン|チョウ,カン|チョー,관청
伊那,イ|ナ,イ|ナ,이나
文脈,ブン|ミャク,ブン|ミャク,문맥
堆積,タイ|セキ,タイ|セキ,퇴적
南宮,ナン|グウ,ナン|グー,남궁
必須,ヒッ|ス,ヒッ|ス,필수
河口,カ|コウ,カ|コー,하구
水系,スイ|ケイ,スイ|ケイ,수계
湖沼,コ|ショウ,コ|ショー,호소
枢密院,スウ|ミツ|イン,スー|ミツ|イン,추밀원
世羅,セ|ラ,セ|ラ,세라
銃砲,ジュウ|ホウ,ジュー|ホー,총포
知的,チ|テキ,チ|テキ,지적
玖珂,ク|ガ,ク|ガ,구가
水車,スイ|シャ,スイ|シャ,수차
