kanji,kana,kana_parsed,kana_romaji,hangul,hangul_parsed,hangul_romaja,kana_initial_medial,kana_final,kana_romaji_initial,kana_romaji_medial,kana_romaji_final,hangul_initial,hangul_medial,hangul_final,hangul_romaja_initial,hangul_romaja_medial,hangul_romaja_final,oldkana,かな(初声),かな(中声),かな(終声),한글(初声),한글(中声),한글(終声)
亜,ア,ア,-a,아,ㅇᅡ,-a-,ア,(none),(none),a,(none),ㅇ,ᅡ,(none),(none),a,(none),,(01) ア行,(02) ア(a),(01) (none),(01) ㅇ,(03) ᅡ(a),(01) (none)
阿,ア,ア,-a,아,ㅇᅡ,-a-,ア,(none),(none),a,(none),ㅇ,ᅡ,(none),(none),a,(none),,(01) ア行,(02) ア(a),(01) (none),(01) ㅇ,(03) ᅡ(a),(01) (none)
依,エ,エ,-e,의,ㅇᅴ,-wi-,エ,(none),(none),e,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(01) ア行,(09) エ(e),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
衣,エ,エ,-e,의,ㅇᅴ,-wi-,エ,(none),(none),e,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(01) ア行,(09) エ(e),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
絵,エ,エ,-e,회,ㅎᅬ,h-oe-,エ,(none),(none),e,(none),ㅎ,ᅬ,(none),h,oe,(none),ゑ,(01) ア行,(09) エ(e),(01) (none),(03) ㅎ(h),(02) ᅬ(oe),(01) (none)
恵,エ,エ,-e,혜,ㅎᅨ,h-ye-,エ,(none),(none),e,(none),ㅎ,ᅨ,(none),h,ye,(none),ゑ,(01) ア行,(09) エ(e),(01) (none),(03) ㅎ(h),(15) ᅨ(ye),(01) (none)
慧,エ,エ,-e,혜,ㅎᅨ,h-ye-,エ,(none),(none),e,(none),ㅎ,ᅨ,(none),h,ye,(none),ゑ,(01) ア行,(09) エ(e),(01) (none),(03) ㅎ(h),(15) ᅨ(ye),(01) (none)
伊,イ,イ,-i,이,ㅇᅵ,-i-,イ,(none),(none),i,(none),ㅇ,ᅵ,(none),(none),i,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(16) ᅵ(i),(01) (none)
夷,イ,イ,-i,이,ㅇᅵ,-i-,イ,(none),(none),i,(none),ㅇ,ᅵ,(none),(none),i,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(16) ᅵ(i),(01) (none)
異,イ,イ,-i,이,ㅇᅵ,-i-,イ,(none),(none),i,(none),ㅇ,ᅵ,(none),(none),i,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(16) ᅵ(i),(01) (none)
移,イ,イ,-i,이,ㅇᅵ,-i-,イ,(none),(none),i,(none),ㅇ,ᅵ,(none),(none),i,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(16) ᅵ(i),(01) (none)
位,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
委,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
威,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
尉,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
為,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
緯,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
胃,イ,イ,-i,위,ㅇᅱ,-ui-,イ,(none),(none),i,(none),ㅇ,ᅱ,(none),(none),ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
依,イ,イ,-i,의,ㅇᅴ,-wi-,イ,(none),(none),i,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
医,イ,イ,-i,의,ㅇᅴ,-wi-,イ,(none),(none),i,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
意,イ,イ,-i,의,ㅇᅴ,-wi-,イ,(none),(none),i,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
椅,イ,イ,-i,의,ㅇᅴ,-wi-,イ,(none),(none),i,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
維,イ,イ,-i,유,ㅇᅲ,-yu-,イ,(none),(none),i,(none),ㅇ,ᅲ,(none),(none),yu,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(10) ᅲ(yu),(01) (none)
遺,イ,イ,-i,유,ㅇᅲ,-yu-,イ,(none),(none),i,(none),ㅇ,ᅲ,(none),(none),yu,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(01) ㅇ,(10) ᅲ(yu),(01) (none)
彙,イ,イ,-i,휘,ㅎᅱ,h-ui-,イ,(none),(none),i,(none),ㅎ,ᅱ,(none),h,ui,(none),ゐ,(01) ア行,(10) イ(i),(01) (none),(03) ㅎ(h),(17) ᅴ(ui),(01) (none)
汚,オ,オ,-o,오,ㅇᅩ,-o-,オ,(none),(none),o,(none),ㅇ,ᅩ,(none),(none),o,(none),を,(01) ア行,(05) オ(o),(01) (none),(01) ㅇ,(05) ᅩ(o),(01) (none)
宇,ウ,ウ,-u,우,ㅇᅮ,-u-,ウ,(none),(none),u,(none),ㅇ,ᅮ,(none),(none),u,(none),,(01) ア行,(07) ウ(u),(01) (none),(01) ㅇ,(09) ᅮ(u),(01) (none)
羽,ウ,ウ,-u,우,ㅇᅮ,-u-,ウ,(none),(none),u,(none),ㅇ,ᅮ,(none),(none),u,(none),,(01) ア行,(07) ウ(u),(01) (none),(01) ㅇ,(09) ᅮ(u),(01) (none)
雨,ウ,ウ,-u,우,ㅇᅮ,-u-,ウ,(none),(none),u,(none),ㅇ,ᅮ,(none),(none),u,(none),,(01) ア行,(07) ウ(u),(01) (none),(01) ㅇ,(09) ᅮ(u),(01) (none)
右,ウ,ウ,-u,우,ㅇᅮ,-u-,ウ,(none),(none),u,(none),ㅇ,ᅮ,(none),(none),u,(none),いう,(01) ア行,(07) ウ(u),(01) (none),(01) ㅇ,(09) ᅮ(u),(01) (none)
也,ヤ,ヤ,-ya,야,ㅇᅣ,-ya-,ヤ,(none),(none),ya,(none),ㅇ,ᅣ,(none),(none),ya,(none),,(01) ア行,(03) ヤ(ya),(01) (none),(01) ㅇ,(12) ᅣ(ya),(01) (none)
夜,ヤ,ヤ,-ya,야,ㅇᅣ,-ya-,ヤ,(none),(none),ya,(none),ㅇ,ᅣ,(none),(none),ya,(none),,(01) ア行,(03) ヤ(ya),(01) (none),(01) ㅇ,(12) ᅣ(ya),(01) (none)
耶,ヤ,ヤ,-ya,야,ㅇᅣ,-ya-,ヤ,(none),(none),ya,(none),ㅇ,ᅣ,(none),(none),ya,(none),,(01) ア行,(03) ヤ(ya),(01) (none),(01) ㅇ,(12) ᅣ(ya),(01) (none)
野,ヤ,ヤ,-ya,야,ㅇᅣ,-ya-,ヤ,(none),(none),ya,(none),ㅇ,ᅣ,(none),(none),ya,(none),,(01) ア行,(03) ヤ(ya),(01) (none),(01) ㅇ,(12) ᅣ(ya),(01) (none)
予,ヨ,ヨ,-yo,예,ㅇᅨ,-ye-,ヨ,(none),(none),yo,(none),ㅇ,ᅨ,(none),(none),ye,(none),,(01) ア行,(06) ヨ(yo),(01) (none),(01) ㅇ,(15) ᅨ(ye),(01) (none)
誉,ヨ,ヨ,-yo,예,ㅇᅨ,-ye-,ヨ,(none),(none),yo,(none),ㅇ,ᅨ,(none),(none),ye,(none),,(01) ア行,(06) ヨ(yo),(01) (none),(01) ㅇ,(15) ᅨ(ye),(01) (none)
預,ヨ,ヨ,-yo,예,ㅇᅨ,-ye-,ヨ,(none),(none),yo,(none),ㅇ,ᅨ,(none),(none),ye,(none),,(01) ア行,(06) ヨ(yo),(01) (none),(01) ㅇ,(15) ᅨ(ye),(01) (none)
与,ヨ,ヨ,-yo,여,ㅇᅧ,-yeo-,ヨ,(none),(none),yo,(none),ㅇ,ᅧ,(none),(none),yeo,(none),,(01) ア行,(06) ヨ(yo),(01) (none),(01) ㅇ,(13) ᅧ(yeo),(01) (none)
喩,ユ,ユ,-yu,유,ㅇᅲ,-yu-,ユ,(none),(none),yu,(none),ㅇ,ᅲ,(none),(none),yu,(none),,(01) ア行,(08) ユ(yu),(01) (none),(01) ㅇ,(10) ᅲ(yu),(01) (none)
油,ユ,ユ,-yu,유,ㅇᅲ,-yu-,ユ,(none),(none),yu,(none),ㅇ,ᅲ,(none),(none),yu,(none),,(01) ア行,(08) ユ(yu),(01) (none),(01) ㅇ,(10) ᅲ(yu),(01) (none)
由,ユ,ユ,-yu,유,ㅇᅲ,-yu-,ユ,(none),(none),yu,(none),ㅇ,ᅲ,(none),(none),yu,(none),いう,(01) ア行,(08) ユ(yu),(01) (none),(01) ㅇ,(10) ᅲ(yu),(01) (none)
輸,ユ,ユ,-yu,수,ㅅᅮ,s-u-,ユ,(none),(none),yu,(none),ㅅ,ᅮ,(none),s,u,(none),,(01) ア行,(08) ユ(yu),(01) (none),(05) ㅅ(s),(09) ᅮ(u),(01) (none)
馬,バ,バ,b-a,마,ㅁᅡ,m-a-,バ,(none),b,a,(none),ㅁ,ᅡ,(none),m,a,(none),,(11) バ行(b),(02) ア(a),(01) (none),(13) ㅁ(m),(03) ᅡ(a),(01) (none)
母,バ,バ,b-a,모,ㅁᅩ,m-o-,バ,(none),b,a,(none),ㅁ,ᅩ,(none),m,o,(none),,(11) バ行(b),(02) ア(a),(01) (none),(13) ㅁ(m),(05) ᅩ(o),(01) (none)
場,バ,バ,b-a,장,ㅈᅡㅇ,j-a-ng,バ,(none),b,a,(none),ㅈ,ᅡ,ㅇ,j,a,ng,ぢやう,(11) バ行(b),(02) ア(a),(01) (none),(06) ㅈ(j),(03) ᅡ(a),(02) ㅇ (ng)
備,ビ,ビ,b-i,비,ㅂᅵ,b-i-,ビ,(none),b,i,(none),ㅂ,ᅵ,(none),b,i,(none),,(11) バ行(b),(10) イ(i),(01) (none),(12) ㅂ(b),(16) ᅵ(i),(01) (none)
琵,ビ,ビ,b-i,비,ㅂᅵ,b-i-,ビ,(none),b,i,(none),ㅂ,ᅵ,(none),b,i,(none),,(11) バ行(b),(10) イ(i),(01) (none),(12) ㅂ(b),(16) ᅵ(i),(01) (none)
鼻,ビ,ビ,b-i,비,ㅂᅵ,b-i-,ビ,(none),b,i,(none),ㅂ,ᅵ,(none),b,i,(none),,(11) バ行(b),(10) イ(i),(01) (none),(12) ㅂ(b),(16) ᅵ(i),(01) (none)
尾,ビ,ビ,b-i,미,ㅁᅵ,m-i-,ビ,(none),b,i,(none),ㅁ,ᅵ,(none),m,i,(none),,(11) バ行(b),(10) イ(i),(01) (none),(13) ㅁ(m),(16) ᅵ(i),(01) (none)
微,ビ,ビ,b-i,미,ㅁᅵ,m-i-,ビ,(none),b,i,(none),ㅁ,ᅵ,(none),m,i,(none),,(11) バ行(b),(10) イ(i),(01) (none),(13) ㅁ(m),(16) ᅵ(i),(01) (none)
美,ビ,ビ,b-i,미,ㅁᅵ,m-i-,ビ,(none),b,i,(none),ㅁ,ᅵ,(none),m,i,(none),,(11) バ行(b),(10) イ(i),(01) (none),(13) ㅁ(m),(16) ᅵ(i),(01) (none)
保,ボ,ボ,b-o,보,ㅂᅩ,b-o-,ボ,(none),b,o,(none),ㅂ,ᅩ,(none),b,o,(none),,(11) バ行(b),(05) オ(o),(01) (none),(12) ㅂ(b),(05) ᅩ(o),(01) (none)
菩,ボ,ボ,b-o,보,ㅂᅩ,b-o-,ボ,(none),b,o,(none),ㅂ,ᅩ,(none),b,o,(none),,(11) バ行(b),(05) オ(o),(01) (none),(12) ㅂ(b),(05) ᅩ(o),(01) (none)
簿,ボ,ボ,b-o,부,ㅂᅮ,b-u-,ボ,(none),b,o,(none),ㅂ,ᅮ,(none),b,u,(none),,(11) バ行(b),(05) オ(o),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
募,ボ,ボ,b-o,모,ㅁᅩ,m-o-,ボ,(none),b,o,(none),ㅁ,ᅩ,(none),m,o,(none),,(11) バ行(b),(05) オ(o),(01) (none),(13) ㅁ(m),(05) ᅩ(o),(01) (none)
暮,ボ,ボ,b-o,모,ㅁᅩ,m-o-,ボ,(none),b,o,(none),ㅁ,ᅩ,(none),m,o,(none),,(11) バ行(b),(05) オ(o),(01) (none),(13) ㅁ(m),(05) ᅩ(o),(01) (none)
母,ボ,ボ,b-o,모,ㅁᅩ,m-o-,ボ,(none),b,o,(none),ㅁ,ᅩ,(none),m,o,(none),,(11) バ行(b),(05) オ(o),(01) (none),(13) ㅁ(m),(05) ᅩ(o),(01) (none)
戊,ボ,ボ,b-o,무,ㅁᅮ,m-u-,ボ,(none),b,o,(none),ㅁ,ᅮ,(none),m,u,(none),,(11) バ行(b),(05) オ(o),(01) (none),(13) ㅁ(m),(09) ᅮ(u),(01) (none)
墓,ボ,ボ,b-o,묘,ㅁᅭ,m-yo-,ボ,(none),b,o,(none),ㅁ,ᅭ,(none),m,yo,(none),,(11) バ行(b),(05) オ(o),(01) (none),(13) ㅁ(m),(07) ᅭ(yo),(01) (none)
婦,ブ,ブ,b-u,부,ㅂᅮ,b-u-,ブ,(none),b,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(11) バ行(b),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
部,ブ,ブ,b-u,부,ㅂᅮ,b-u-,ブ,(none),b,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(11) バ行(b),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
撫,ブ,ブ,b-u,무,ㅁᅮ,m-u-,ブ,(none),b,u,(none),ㅁ,ᅮ,(none),m,u,(none),,(11) バ行(b),(07) ウ(u),(01) (none),(13) ㅁ(m),(09) ᅮ(u),(01) (none)
武,ブ,ブ,b-u,무,ㅁᅮ,m-u-,ブ,(none),b,u,(none),ㅁ,ᅮ,(none),m,u,(none),,(11) バ行(b),(07) ウ(u),(01) (none),(13) ㅁ(m),(09) ᅮ(u),(01) (none)
舞,ブ,ブ,b-u,무,ㅁᅮ,m-u-,ブ,(none),b,u,(none),ㅁ,ᅮ,(none),m,u,(none),,(11) バ行(b),(07) ウ(u),(01) (none),(13) ㅁ(m),(09) ᅮ(u),(01) (none)
妥,ダ,ダ,d-a,타,ㅌᅡ,t-a-,ダ,(none),d,a,(none),ㅌ,ᅡ,(none),t,a,(none),,(07) ダ行(d),(02) ア(a),(01) (none),(09) ㅌ(t),(03) ᅡ(a),(01) (none)
楕,ダ,ダ,d-a,타,ㅌᅡ,t-a-,ダ,(none),d,a,(none),ㅌ,ᅡ,(none),t,a,(none),,(07) ダ行(d),(02) ア(a),(01) (none),(09) ㅌ(t),(03) ᅡ(a),(01) (none)
打,ダ,ダ,d-a,타,ㅌᅡ,t-a-,ダ,(none),d,a,(none),ㅌ,ᅡ,(none),t,a,(none),ちやう,(07) ダ行(d),(02) ア(a),(01) (none),(09) ㅌ(t),(03) ᅡ(a),(01) (none)
堵,ド,ド,d-o,도,ㄷᅩ,d-o-,ド,(none),d,o,(none),ㄷ,ᅩ,(none),d,o,(none),,(07) ダ行(d),(05) オ(o),(01) (none),(07) ㄷ(d),(05) ᅩ(o),(01) (none)
度,ド,ド,d-o,도,ㄷᅩ,d-o-,ド,(none),d,o,(none),ㄷ,ᅩ,(none),d,o,(none),,(07) ダ行(d),(05) オ(o),(01) (none),(07) ㄷ(d),(05) ᅩ(o),(01) (none)
奴,ド,ド,d-o,노,ㄴᅩ,n-o-,ド,(none),d,o,(none),ㄴ,ᅩ,(none),n,o,(none),,(07) ダ行(d),(05) オ(o),(01) (none),(11) ㄴ(n),(05) ᅩ(o),(01) (none)
土,ド,ド,d-o,토,ㅌᅩ,t-o-,ド,(none),d,o,(none),ㅌ,ᅩ,(none),t,o,(none),,(07) ダ行(d),(05) オ(o),(01) (none),(09) ㅌ(t),(05) ᅩ(o),(01) (none)
普,フ,フ,f-u,보,ㅂᅩ,b-o-,フ,(none),f,u,(none),ㅂ,ᅩ,(none),b,o,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(05) ᅩ(o),(01) (none)
譜,フ,フ,f-u,보,ㅂᅩ,b-o-,フ,(none),f,u,(none),ㅂ,ᅩ,(none),b,o,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(05) ᅩ(o),(01) (none)
不,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
付,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
夫,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
婦,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
富,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
府,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
扶,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
浮,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
父,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
符,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
腐,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
膚,フ,フ,f-u,부,ㅂᅮ,b-u-,フ,(none),f,u,(none),ㅂ,ᅮ,(none),b,u,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(12) ㅂ(b),(09) ᅮ(u),(01) (none)
布,フ,フ,f-u,포,ㅍᅩ,p-o-,フ,(none),f,u,(none),ㅍ,ᅩ,(none),p,o,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(14) ㅍ(p),(05) ᅩ(o),(01) (none)
怖,フ,フ,f-u,포,ㅍᅩ,p-o-,フ,(none),f,u,(none),ㅍ,ᅩ,(none),p,o,(none),,(14) ファ行(hw),(07) ウ(u),(01) (none),(14) ㅍ(p),(05) ᅩ(o),(01) (none)
我,ガ,ガ,g-a,아,ㅇᅡ,-a-,ガ,(none),g,a,(none),ㅇ,ᅡ,(none),(none),a,(none),,(04) ガ行(g),(02) ア(a),(01) (none),(01) ㅇ,(03) ᅡ(a),(01) (none)
芽,ガ,ガ,g-a,아,ㅇᅡ,-a-,ガ,(none),g,a,(none),ㅇ,ᅡ,(none),(none),a,(none),,(04) ガ行(g),(02) ア(a),(01) (none),(01) ㅇ,(03) ᅡ(a),(01) (none)
雅,ガ,ガ,g-a,아,ㅇᅡ,-a-,ガ,(none),g,a,(none),ㅇ,ᅡ,(none),(none),a,(none),,(04) ガ行(g),(02) ア(a),(01) (none),(01) ㅇ,(03) ᅡ(a),(01) (none)
臥,ガ,ガ,g-a,와,ㅇᅪ,-wa-,ガ,(none),g,a,(none),ㅇ,ᅪ,(none),(none),wa,(none),ぐわ,(04) ガ行(g),(02) ア(a),(01) (none),(01) ㅇ,(04) ᅪ(wa),(01) (none)
珂,ガ,ガ,g-a,가,ㄱᅡ,g-a-,ガ,(none),g,a,(none),ㄱ,ᅡ,(none),g,a,(none),,(04) ガ行(g),(02) ア(a),(01) (none),(02) ㄱ(g),(03) ᅡ(a),(01) (none)
果,ガ,ガ,g-a,과,ㄱᅪ,g-wa-,ガ,(none),g,a,(none),ㄱ,ᅪ,(none),g,wa,(none),ぐわ,(04) ガ行(g),(02) ア(a),(01) (none),(02) ㄱ(g),(04) ᅪ(wa),(01) (none)
菓,ガ,ガ,g-a,과,ㄱᅪ,g-wa-,ガ,(none),g,a,(none),ㄱ,ᅪ,(none),g,wa,(none),ぐゎ,(04) ガ行(g),(02) ア(a),(01) (none),(02) ㄱ(g),(04) ᅪ(wa),(01) (none)
河,ガ,ガ,g-a,하,ㅎᅡ,h-a-,ガ,(none),g,a,(none),ㅎ,ᅡ,(none),h,a,(none),,(04) ガ行(g),(02) ア(a),(01) (none),(03) ㅎ(h),(03) ᅡ(a),(01) (none)
牙,ゲ,ゲ,g-e,아,ㅇᅡ,-a-,ゲ,(none),g,e,(none),ㅇ,ᅡ,(none),(none),a,(none),,(04) ガ行(g),(09) エ(e),(01) (none),(01) ㅇ,(03) ᅡ(a),(01) (none)
下,ゲ,ゲ,g-e,하,ㅎᅡ,h-a-,ゲ,(none),g,e,(none),ㅎ,ᅡ,(none),h,a,(none),,(04) ガ行(g),(09) エ(e),(01) (none),(03) ㅎ(h),(03) ᅡ(a),(01) (none)
夏,ゲ,ゲ,g-e,하,ㅎᅡ,h-a-,ゲ,(none),g,e,(none),ㅎ,ᅡ,(none),h,a,(none),,(04) ガ行(g),(09) エ(e),(01) (none),(03) ㅎ(h),(03) ᅡ(a),(01) (none)
偽,ギ,ギ,g-i,위,ㅇᅱ,-ui-,ギ,(none),g,i,(none),ㅇ,ᅱ,(none),(none),ui,(none),,(04) ガ行(g),(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
魏,ギ,ギ,g-i,위,ㅇᅱ,-ui-,ギ,(none),g,i,(none),ㅇ,ᅱ,(none),(none),ui,(none),,(04) ガ行(g),(10) イ(i),(01) (none),(01) ㅇ,(17) ᅴ(ui),(01) (none)
儀,ギ,ギ,g-i,의,ㅇᅴ,-wi-,ギ,(none),g,i,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(04) ガ行(g),(10) イ(i),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
擬,ギ,ギ,g-i,의,ㅇᅴ,-wi-,ギ,(none),g,i,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(04) ガ行(g),(10) イ(i),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
義,ギ,ギ,g-i,의,ㅇᅴ,-wi-,ギ,(none),g,i,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(04) ガ行(g),(10) イ(i),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
議,ギ,ギ,g-i,의,ㅇᅴ,-wi-,ギ,(none),g,i,(none),ㅇ,ᅴ,(none),(none),wi,(none),,(04) ガ行(g),(10) イ(i),(01) (none),(01) ㅇ,(18) ᅱ(wi),(01) (none)
技,ギ,ギ,g-i,기,ㄱᅵ,g-i-,ギ,(none),g,i,(none),ㄱ,ᅵ,(none),g,i,(none),,(04) ガ行(g),(10) イ(i),(01) (none),(02) ㄱ(g),(16) ᅵ(i),(01) (none)
犠,ギ,ギ,g-i,희,ㅎᅴ,h-wi-,ギ,(none),g,i,(none),ㅎ,ᅴ,(none),h,wi,(none),,(04) ガ行(g),(10) イ(i),(01) (none),(03) ㅎ(h),(18) ᅱ(wi),(01) (none)
羲,ギ,ギ,g-i,희,ㅎᅴ,h-wi-,ギ,(none),g,i,(none),ㅎ,ᅴ,(none),h,wi,(none),,(04) ガ行(g),(10) イ(i),(01) (none),(03) ㅎ(h),(18) ᅱ(wi),(01) (none)
城,ギ,ギ,g-i,성,ㅅᅥㅇ,s-eo-ng,ギ,(none),g,i,(none),ㅅ,ᅥ,ㅇ,s,eo,ng,じやう,(04) ガ行(g),(10) イ(i),(01) (none),(05) ㅅ(s),(11) ᅥ(eo),(02) ㅇ (ng)
語,ゴ,ゴ,g-o,어,ㅇᅥ,-eo-,ゴ,(none),g,o,(none),ㅇ,ᅥ,(none),(none),eo,(none),,(04) ガ行(g),(05) オ(o),(01) (none),(01) ㅇ,(11) ᅥ(eo),(01) (none)
御,ゴ,ゴ,g-o,어,ㅇᅥ,-eo-,ゴ,(none),g,o,(none),ㅇ,ᅥ,(none),(none),eo,(none),ぎよ,(04) ガ行(g),(05) オ(o),(01) (none),(01) ㅇ,(11) ᅥ(eo),(01) (none)
五,ゴ,ゴ,g-o,오,ㅇᅩ,-o-,ゴ,(none),g,o,(none),ㅇ,ᅩ,(none),(none),o,(none),,(04) ガ行(g),(05) オ(o),(01) (none),(01) ㅇ,(05) ᅩ(o),(01) (none)
午,ゴ,ゴ,g-o,오,ㅇᅩ,-o-,ゴ,(none),g,o,(none),ㅇ,ᅩ,(none),(none),o,(none),,(04) ガ行(g),(05) オ(o),(01) (none),(01) ㅇ,(05) ᅩ(o),(01) (none)
悟,ゴ,ゴ,g-o,오,ㅇᅩ,-o-,ゴ,(none),g,o,(none),ㅇ,ᅩ,(none),(none),o,(none),,(04) ガ行(g),(05) オ(o),(01) (none),(01) ㅇ,(05) ᅩ(o),(01) (none)
誤,ゴ,ゴ,g-o,오,ㅇᅩ,-o-,ゴ,(none),g,o,(none),ㅇ,ᅩ,(none),(none),o,(none),,(04) ガ行(g),(05) オ(o),(01) (none),(01) ㅇ,(05) ᅩ(o),(01) (none)
