kanji,kana,kana_parsed,kana_romaji,hangul,hangul_parsed,hangul_romaja,kana_initial_medial,kana_final,kana_romaji_initial,kana_romaji_medial,kana_romaji_final,hangul_initial,hangul_medial,hangul_final,hangul_romaja_initial,hangul_romaja_medial,hangul_romaja_final,oldkana,かな(初声),かな(中声),かな(終声),한글(初声),한글(中声),한글(終声)
拍,ヒョウ,ヒョ-ウ,h-yo-u,박,ㅂᅡㄱ,b-a-k,ヒョ,ウ,h,yo,u,ㅂ,ᅡ,ㄱ,b,a,k,ぴやう,(12) ハ行(h),(06) ヨ(yo),(02) ウ (u),(12) ㅂ(b),(03) ᅡ(a),(06) ㄱ (k)
氷,ヒョウ,ヒョ-ウ,h-yo-u,빙,ㅂᅵㅇ,b-i-ng,ヒョ,ウ,h,yo,u,ㅂ,ᅵ,ㅇ,b,i,ng,ぴよう,(12) ハ行(h),(06) ヨ(yo),(02) ウ (u),(12) ㅂ(b),(16) ᅵ(i),(02) ㅇ (ng)
評,ヒョウ,ヒョ-ウ,h-yo-u,평,ㅍᅧㅇ,p-yeo-ng,ヒョ,ウ,h,yo,u,ㅍ,ᅧ,ㅇ,p,yeo,ng,ぴやう,(12) ハ行(h),(06) ヨ(yo),(02) ウ (u),(14) ㅍ(p),(13) ᅧ(yeo),(02) ㅇ (ng)
弱,ジャク,ジャ-ク,j-a-ku,약,ㅇᅣㄱ,-ya-k,ジャ,ク,j,a,ku,ㅇ,ᅣ,ㄱ,(none),ya,k,じやく,(08) ジャ行(j),(02) ア(a),(05) ク (ku),(01) ㅇ,(12) ᅣ(ya),(06) ㄱ (k)
雀,ジャク,ジャ-ク,j-a-ku,작,ㅈᅡㄱ,j-a-k,ジャ,ク,j,a,ku,ㅈ,ᅡ,ㄱ,j,a,k,じやく,(08) ジャ行(j),(02) ア(a),(05) ク (ku),(06) ㅈ(j),(03) ᅡ(a),(06) ㄱ (k)
褥,ジョク,ジョ-ク,j-o-ku,욕,ㅇᅭㄱ,-yo-k,ジョ,ク,j,o,ku,ㅇ,ᅭ,ㄱ,(none),yo,k,じよく,(08) ジャ行(j),(05) オ(o),(05) ク (ku),(01) ㅇ,(07) ᅭ(yo),(06) ㄱ (k)
擾,ジョウ,ジョ-ウ,j-o-u,요,ㅇᅭ,-yo-,ジョ,ウ,j,o,u,ㅇ,ᅭ,(none),(none),yo,(none),ぜう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(01) ㅇ,(07) ᅭ(yo),(01) (none)
条,ジョウ,ジョ-ウ,j-o-u,조,ㅈᅩ,j-o-,ジョ,ウ,j,o,u,ㅈ,ᅩ,(none),j,o,(none),でう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(06) ㅈ(j),(05) ᅩ(o),(01) (none)
壌,ジョウ,ジョ-ウ,j-o-u,양,ㅇᅣㅇ,-ya-ng,ジョ,ウ,j,o,u,ㅇ,ᅣ,ㅇ,(none),ya,ng,じやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(01) ㅇ,(12) ᅣ(ya),(02) ㅇ (ng)
醸,ジョウ,ジョ-ウ,j-o-u,양,ㅇᅣㅇ,-ya-ng,ジョ,ウ,j,o,u,ㅇ,ᅣ,ㅇ,(none),ya,ng,ぢやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(01) ㅇ,(12) ᅣ(ya),(02) ㅇ (ng)
帖,ジョウ,ジョ-ウ,j-o-u,첩,ㅊᅥㅂ,ch-eo-b,ジョ,ウ,j,o,u,ㅊ,ᅥ,ㅂ,ch,eo,b,でふ,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(08) ㅊ(ch),(11) ᅥ(eo),(03) ㅂ (b)
畳,ジョウ,ジョ-ウ,j-o-u,첩,ㅊᅥㅂ,ch-eo-b,ジョ,ウ,j,o,u,ㅊ,ᅥ,ㅂ,ch,eo,b,でふ,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(08) ㅊ(ch),(11) ᅥ(eo),(03) ㅂ (b)
場,ジョウ,ジョ-ウ,j-o-u,장,ㅈᅡㅇ,j-a-ng,ジョ,ウ,j,o,u,ㅈ,ᅡ,ㅇ,j,a,ng,ぢやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(06) ㅈ(j),(03) ᅡ(a),(02) ㅇ (ng)
井,ジョウ,ジョ-ウ,j-o-u,정,ㅈᅥㅇ,j-eo-ng,ジョ,ウ,j,o,u,ㅈ,ᅥ,ㅇ,j,eo,ng,じやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(06) ㅈ(j),(11) ᅥ(eo),(02) ㅇ (ng)
情,ジョウ,ジョ-ウ,j-o-u,정,ㅈᅥㅇ,j-eo-ng,ジョ,ウ,j,o,u,ㅈ,ᅥ,ㅇ,j,eo,ng,じやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(06) ㅈ(j),(11) ᅥ(eo),(02) ㅇ (ng)
浄,ジョウ,ジョ-ウ,j-o-u,정,ㅈᅥㅇ,j-eo-ng,ジョ,ウ,j,o,u,ㅈ,ᅥ,ㅇ,j,eo,ng,じやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(06) ㅈ(j),(11) ᅥ(eo),(02) ㅇ (ng)
静,ジョウ,ジョ-ウ,j-o-u,정,ㅈᅥㅇ,j-eo-ng,ジョ,ウ,j,o,u,ㅈ,ᅥ,ㅇ,j,eo,ng,じやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(06) ㅈ(j),(11) ᅥ(eo),(02) ㅇ (ng)
蒸,ジョウ,ジョ-ウ,j-o-u,증,ㅈᅳㅇ,j-eu-ng,ジョ,ウ,j,o,u,ㅈ,ᅳ,ㅇ,j,eu,ng,じよう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(06) ㅈ(j),(08) ᅳ(eu),(02) ㅇ (ng)
上,ジョウ,ジョ-ウ,j-o-u,상,ㅅᅡㅇ,s-a-ng,ジョ,ウ,j,o,u,ㅅ,ᅡ,ㅇ,s,a,ng,じやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(05) ㅅ(s),(03) ᅡ(a),(02) ㅇ (ng)
常,ジョウ,ジョ-ウ,j-o-u,상,ㅅᅡㅇ,s-a-ng,ジョ,ウ,j,o,u,ㅅ,ᅡ,ㅇ,s,a,ng,じやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(05) ㅅ(s),(03) ᅡ(a),(02) ㅇ (ng)
状,ジョウ,ジョ-ウ,j-o-u,상,ㅅᅡㅇ,s-a-ng,ジョ,ウ,j,o,u,ㅅ,ᅡ,ㅇ,s,a,ng,じやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(05) ㅅ(s),(03) ᅡ(a),(02) ㅇ (ng)
生,ジョウ,ジョ-ウ,j-o-u,생,ㅅᅢㅇ,s-ae-ng,ジョ,ウ,j,o,u,ㅅ,ᅢ,ㅇ,s,ae,ng,しやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(05) ㅅ(s),(01) ᅢ(ae),(02) ㅇ (ng)
城,ジョウ,ジョ-ウ,j-o-u,성,ㅅᅥㅇ,s-eo-ng,ジョ,ウ,j,o,u,ㅅ,ᅥ,ㅇ,s,eo,ng,じやう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(05) ㅅ(s),(11) ᅥ(eo),(02) ㅇ (ng)
丞,ジョウ,ジョ-ウ,j-o-u,승,ㅅᅳㅇ,s-eu-ng,ジョ,ウ,j,o,u,ㅅ,ᅳ,ㅇ,s,eu,ng,じよう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(05) ㅅ(s),(08) ᅳ(eu),(02) ㅇ (ng)
乗,ジョウ,ジョ-ウ,j-o-u,승,ㅅᅳㅇ,s-eu-ng,ジョ,ウ,j,o,u,ㅅ,ᅳ,ㅇ,s,eu,ng,じよう,(08) ジャ行(j),(05) オ(o),(02) ウ (u),(05) ㅅ(s),(08) ᅳ(eu),(02) ㅇ (ng)
塾,ジュク,ジュ-ク,j-u-ku,숙,ㅅᅮㄱ,s-u-k,ジュ,ク,j,u,ku,ㅅ,ᅮ,ㄱ,s,u,k,じゆく,(08) ジャ行(j),(07) ウ(u),(05) ク (ku),(05) ㅅ(s),(09) ᅮ(u),(06) ㄱ (k)
潤,ジュン,ジュ-ン,j-u-n,윤,ㅇᅲㄴ,-yu-n,ジュ,ン,j,u,n,ㅇ,ᅲ,ㄴ,(none),yu,n,じゆん,(08) ジャ行(j),(07) ウ(u),(04) ン (n),(01) ㅇ,(10) ᅲ(yu),(04) ㄴ (n)
准,ジュン,ジュ-ン,j-u-n,준,ㅈᅮㄴ,j-u-n,ジュ,ン,j,u,n,ㅈ,ᅮ,ㄴ,j,u,n,じゆん,(08) ジャ行(j),(07) ウ(u),(04) ン (n),(06) ㅈ(j),(09) ᅮ(u),(04) ㄴ (n)
準,ジュン,ジュ-ン,j-u-n,준,ㅈᅮㄴ,j-u-n,ジュ,ン,j,u,n,ㅈ,ᅮ,ㄴ,j,u,n,じゆん,(08) ジャ行(j),(07) ウ(u),(04) ン (n),(06) ㅈ(j),(09) ᅮ(u),(04) ㄴ (n)
巡,ジュン,ジュ-ン,j-u-n,순,ㅅᅮㄴ,s-u-n,ジュ,ン,j,u,n,ㅅ,ᅮ,ㄴ,s,u,n,じゆん,(08) ジャ行(j),(07) ウ(u),(04) ン (n),(05) ㅅ(s),(09) ᅮ(u),(04) ㄴ (n)
循,ジュン,ジュ-ン,j-u-n,순,ㅅᅮㄴ,s-u-n,ジュ,ン,j,u,n,ㅅ,ᅮ,ㄴ,s,u,n,じゆん,(08) ジャ行(j),(07) ウ(u),(04) ン (n),(05) ㅅ(s),(09) ᅮ(u),(04) ㄴ (n)
殉,ジュン,ジュ-ン,j-u-n,순,ㅅᅮㄴ,s-u-n,ジュ,ン,j,u,n,ㅅ,ᅮ,ㄴ,s,u,n,じゆん,(08) ジャ行(j),(07) ウ(u),(04) ン (n),(05) ㅅ(s),(09) ᅮ(u),(04) ㄴ (n)
盾,ジュン,ジュ-ン,j-u-n,순,ㅅᅮㄴ,s-u-n,ジュ,ン,j,u,n,ㅅ,ᅮ,ㄴ,s,u,n,じゆん,(08) ジャ行(j),(07) ウ(u),(04) ン (n),(05) ㅅ(s),(09) ᅮ(u),(04) ㄴ (n)
純,ジュン,ジュ-ン,j-u-n,순,ㅅᅮㄴ,s-u-n,ジュ,ン,j,u,n,ㅅ,ᅮ,ㄴ,s,u,n,じゆん,(08) ジャ行(j),(07) ウ(u),(04) ン (n),(05) ㅅ(s),(09) ᅮ(u),(04) ㄴ (n)
順,ジュン,ジュ-ン,j-u-n,순,ㅅᅮㄴ,s-u-n,ジュ,ン,j,u,n,ㅅ,ᅮ,ㄴ,s,u,n,じゆん,(08) ジャ行(j),(07) ウ(u),(04) ン (n),(05) ㅅ(s),(09) ᅮ(u),(04) ㄴ (n)
術,ジュツ,ジュ-ツ,j-u-tu,술,ㅅᅮㄹ,s-u-l,ジュ,ツ,j,u,tu,ㅅ,ᅮ,ㄹ,s,u,l,じゆつ,(08) ジャ行(j),(07) ウ(u),(07) ツ (tu),(05) ㅅ(s),(09) ᅮ(u),(07) ㄹ (l)
述,ジュツ,ジュ-ツ,j-u-tu,술,ㅅᅮㄹ,s-u-l,ジュ,ツ,j,u,tu,ㅅ,ᅮ,ㄹ,s,u,l,じゆつ,(08) ジャ行(j),(07) ウ(u),(07) ツ (tu),(05) ㅅ(s),(09) ᅮ(u),(07) ㄹ (l)
柔,ジュウ,ジュ-ウ,j-u-u,유,ㅇᅲ,-yu-,ジュ,ウ,j,u,u,ㅇ,ᅲ,(none),(none),yu,(none),にう,(08) ジャ行(j),(07) ウ(u),(02) ウ (u),(01) ㅇ,(10) ᅲ(yu),(01) (none)
秋,ジュウ,ジュ-ウ,j-u-u,추,ㅊᅮ,ch-u-,ジュ,ウ,j,u,u,ㅊ,ᅮ,(none),ch,u,(none),しう,(08) ジャ行(j),(07) ウ(u),(02) ウ (u),(08) ㅊ(ch),(09) ᅮ(u),(01) (none)
住,ジュウ,ジュ-ウ,j-u-u,주,ㅈᅮ,j-u-,ジュ,ウ,j,u,u,ㅈ,ᅮ,(none),j,u,(none),ぢゆう,(08) ジャ行(j),(07) ウ(u),(02) ウ (u),(06) ㅈ(j),(09) ᅮ(u),(01) (none)
獣,ジュウ,ジュ-ウ,j-u-u,수,ㅅᅮ,s-u-,ジュ,ウ,j,u,u,ㅅ,ᅮ,(none),s,u,(none),じう,(08) ジャ行(j),(07) ウ(u),(02) ウ (u),(05) ㅅ(s),(09) ᅮ(u),(01) (none)
銃,ジュウ,ジュ-ウ,j-u-u,총,ㅊᅩㅇ,ch-o-ng,ジュ,ウ,j,u,u,ㅊ,ᅩ,ㅇ,ch,o,ng,じゆう,(08) ジャ行(j),(07) ウ(u),(02) ウ (u),(08) ㅊ(ch),(05) ᅩ(o),(02) ㅇ (ng)
充,ジュウ,ジュ-ウ,j-u-u,충,ㅊᅮㅇ,ch-u-ng,ジュ,ウ,j,u,u,ㅊ,ᅮ,ㅇ,ch,u,ng,じゆう,(08) ジャ行(j),(07) ウ(u),(02) ウ (u),(08) ㅊ(ch),(09) ᅮ(u),(02) ㅇ (ng)
